district,area,production,yield,crop_type,season,districe,first_rain_date,last_rain_date,mean_dry_spell_length,total_rainfall,rainy_days,average_tmax,average_tmin,average_humidity,first_rain_category,last_rain_category,yield_calculated,district_encoded,season_encoded,crop_type_encoded
Rajkot,2.75,6.818595,2479.489090909091,TOTAL BAJRA,2016,Rajkot,2016-06-13,2016-10-08,7.076923076923077,524.0999999999999,91,31.81311475409837,23.42513661202186,69.83060109289617,on_time,early,2.479489090909091,26,0,1
Jamnagar,4.94,11.0894805,2244.834109311741,TOTAL BAJRA,2016,Jamnagar,2016-06-10,2016-10-07,5.8125,559.5999999999999,90,31.411475409836065,24.8103825136612,71.93989071038251,on_time,early,2.244834109311741,14,0,1
Devbhumi Dwarka,2.8,4.28736,1531.2,TOTAL BAJRA,2016,Devbhumi Dwarka,2016-06-14,2016-10-05,12.625,357.90000000000003,82,29.73224043715846,26.05792349726776,76.37704918032787,on_time,early,1.5312,11,0,1
Porbandar,0.95,1.8892725,1988.7078947368425,TOTAL BAJRA,2016,Porbandar,2016-06-10,2016-10-08,8.3,591.7,100,29.62568306010928,24.8448087431694,78.02185792349727,on_time,early,1.9887078947368422,25,0,1
Junagadh,23.7,57.055215,2407.393037974684,TOTAL BAJRA,2016,Junagadh,2016-06-12,2016-10-08,9.75,596.6000000000001,105,30.75027322404372,23.27868852459016,76.33879781420765,on_time,early,2.4073930379746833,15,0,1
Gir Somnath,81.12,174.9503081,2156.685257642998,TOTAL BAJRA,2016,Gir Somnath,2016-06-12,2016-10-09,9.5,654.0,107,29.459016393442624,24.91912568306011,79.1584699453552,on_time,on_time,2.156685257642998,13,0,1
Amreli,35.81,77.8511402,2174.005590617146,TOTAL BAJRA,2016,Amreli,2016-06-10,2016-10-09,7.230769230769231,529.4,89,31.659562841530057,23.133333333333333,69.91256830601093,on_time,on_time,2.174005590617146,1,0,1
Bhavnagar,348.14,832.0969050000001,2390.1215172057223,TOTAL BAJRA,2016,Bhavnagar,2016-06-20,2016-10-08,8.636363636363637,676.8,88,30.66338797814208,24.98633879781421,72.72677595628416,on_time,early,2.3901215172057224,6,0,1
Botad,6.87,10.3984335,1513.6002183406115,TOTAL BAJRA,2016,Botad,2016-06-10,2016-10-09,6.055555555555555,515.8,74,33.262841530054644,23.87704918032787,64.22950819672131,on_time,on_time,1.5136002183406112,7,0,1
Anand,444.83,1106.9853256,2488.55815839759,TOTAL BAJRA,2016,Anand,2016-06-19,2016-10-14,8.4,685.2,99,32.02459016393443,23.93060109289617,70.43169398907104,on_time,on_time,2.48855815839759,2,0,1
Kheda,415.41,810.8160919999999,1951.8453864856408,TOTAL BAJRA,2016,Kheda,2016-06-19,2016-10-09,7.666666666666667,676.2,91,32.30382513661202,23.90819672131148,70.06557377049181,on_time,on_time,1.9518453864856404,16,0,1
Panchmahal,40.52,92.0558696,2271.862527147088,TOTAL BAJRA,2016,Panchmahal,2016-06-19,2016-10-11,9.0,699.3999999999999,102,31.131147540983605,23.22185792349727,72.44262295081967,on_time,on_time,2.2718625271470874,23,0,1
Mahisagar,108.5,173.6358956,1600.3308350230411,TOTAL BAJRA,2016,Mahisagar,2016-06-19,2016-10-09,7.166666666666667,719.4,97,31.80710382513661,23.60655737704918,69.17486338797814,on_time,on_time,1.6003308350230414,18,0,1
Dahod,0.15,0.3745575,2497.05,TOTAL BAJRA,2016,Dahod,2016-06-19,2016-10-10,10.857142857142858,836.2,107,30.31584699453552,22.41475409836066,73.10928961748634,on_time,on_time,2.49705,9,0,1
Vadodara,134.93,298.7501511,2214.11214036908,TOTAL BAJRA,2016,Vadodara,2016-06-19,2016-10-14,8.0,735.8,103,31.743715846994537,23.65792349726776,73.16939890710383,on_time,on_time,2.21411214036908,31,0,1
Chhota Udaipur,0.12,0.299646,2497.05,TOTAL BAJRA,2016,Chhotaudepur,2016-06-15,2016-10-10,12.166666666666666,795.2,110,30.65956284153005,22.719672131147544,73.91256830601093,on_time,on_time,2.49705,8,0,1
Narmada,3.32,5.652788999999999,1702.6472891566266,TOTAL BAJRA,2016,Narmada,2016-06-15,2016-10-12,14.4,874.1999999999999,111,31.342622950819667,23.618032786885248,74.5792349726776,on_time,on_time,1.7026472891566264,21,0,1
Bharuch,2.3,2.1735,945.0,TOTAL BAJRA,2016,Bharuch,2016-06-15,2016-10-11,11.285714285714286,878.3,104,31.48142076502732,23.83606557377049,74.42622950819673,on_time,on_time,0.9450000000000002,5,0,1
Surat,0.53,1.3234365000000003,2497.05,TOTAL BAJRA,2016,Surat,2016-06-15,2016-10-10,12.833333333333334,1055.0,106,30.153551912568307,24.80163934426229,75.75409836065573,on_time,on_time,2.4970500000000007,28,0,1
Mehsana,47.28,112.60198797072798,2381.598730345346,TOTAL RICE,2016,Mehesana,2016-06-14,2016-10-08,9.0,612.5,84,32.00491803278688,23.35300546448088,70.01092896174863,on_time,early,2.3815987303453463,19,0,4
Sabarkantha,61.85,176.37145999999998,2851.6,TOTAL RICE,2016,Sabarkantha,2016-06-19,2016-10-08,11.5,624.2,91,31.564480874316946,23.16338797814208,70.44262295081967,on_time,early,2.8515999999999995,27,0,4
Aravalli,14.87,35.078009800000004,2358.9784667115,TOTAL RICE,2016,Arvalli,2016-06-19,2016-10-08,11.5,624.2,91,31.62950819672131,23.249726775956283,69.7431693989071,on_time,early,2.3589784667115,3,0,4
Gandhinagar,91.84,114.634688,1248.2,TOTAL RICE,2016,Gandhinagar,2016-06-19,2016-10-09,9.1,681.4,92,32.128961748633884,23.56229508196721,69.37704918032787,on_time,on_time,1.2482,12,0,4
Surendranagar,3.72,9.65526,2595.5,TOTAL RICE,2016,Surendranagar,2016-06-10,2016-10-09,6.866666666666666,463.6,80,33.368852459016395,24.0655737704918,64.61748633879782,on_time,on_time,2.5955,29,0,4
Panchmahal,549.09,545.2979457180214,993.0939294432998,TOTAL RICE,2016,Panchmahal,2016-06-19,2016-10-11,9.0,699.3999999999999,102,31.131147540983605,23.22185792349727,72.44262295081967,on_time,on_time,0.9930939294432997,23,0,4
Mahisagar,400.05,651.2364494014593,1627.887637548955,TOTAL RICE,2016,Mahisagar,2016-06-19,2016-10-09,7.166666666666667,719.4,97,31.80710382513661,23.60655737704918,69.17486338797814,on_time,on_time,1.6278876375489544,18,0,4
Dahod,406.71,479.1438846,1178.0971321088734,TOTAL RICE,2016,Dahod,2016-06-19,2016-10-10,10.857142857142858,836.2,107,30.31584699453552,22.41475409836066,73.10928961748634,on_time,on_time,1.1780971321088736,9,0,4
Vadodara,239.65,523.7024971511963,2185.280605679935,TOTAL RICE,2016,Vadodara,2016-06-19,2016-10-14,8.0,735.8,103,31.743715846994537,23.65792349726776,73.16939890710383,on_time,on_time,2.1852806056799348,31,0,4
